ID,stop_1,stop_2,stop_3,stop_4,stop_5,stop_6,stop_7,stop_8
1,175,175,80,80,170,170,69,69
2,68,68,87,87,,,,
3,124,137,124,137,103,103,,
4,119,119,199,192,192,199,,
5,169,169,72,135,72,135,,
6,97,70,70,195,97,195,,
7,194,194,191,191,113,113,,
8,60,60,202,196,154,202,196,154
9,161,161,158,158,145,145,,
10,176,189,189,176,,,,
11,118,118,,,,,,
12,107,107,155,155,167,167,,
13,63,88,142,88,142,63,,
14,77,77,157,157,172,172,,
15,129,96,92,92,129,96,,
16,152,152,150,150,120,120,138,138
17,181,181,188,188,,,,
18,73,90,100,73,100,90,,
19,163,200,143,143,163,200,,
20,101,101,190,190,67,67,,
21,81,81,168,168,187,187,,
22,57,57,98,98,131,131,,
23,174,174,65,65,61,61,,
24,99,112,141,112,99,141,,
25,201,184,201,184,,,,
26,56,204,56,204,,,,
27,91,91,71,71,182,182,151,151
28,110,110,162,162,,,,
29,114,114,122,122,197,197,,
30,86,86,62,62,,,,
31,59,59,128,128,75,75,,
32,133,133,177,177,193,193,,
33,126,180,126,180,,,,
34,83,178,179,83,178,179,,
35,84,203,84,203,,,,
36,89,173,173,89,160,160,,
37,94,79,79,94,,,,
38,127,127,134,134,,,,
39,105,153,153,105,115,115,,
40,130,130,102,102,,,,
41,144,156,156,82,144,82,,
42,147,147,132,109,132,109,,
43,159,164,149,159,164,149,,
44,78,78,58,58,108,108,,
45,95,95,183,166,183,166,,
46,125,125,85,85,,,,
47,123,123,146,146,148,148,,
48,198,171,165,165,171,198,,
49,76,76,185,185,,,,
50,117,117,139,139,,,,
51,64,64,136,136,,,,
52,106,93,106,93,104,104,,
53,116,116,121,121,,,,
54,74,74,140,140,,,,
55,66,66,111,111,186,186,,
