ID,stop_1,stop_2,stop_3,stop_4,stop_5,stop_6
1,122,122,,,,
2,251,251,238,238,,
3,271,266,271,266,,
4,194,194,208,208,,
5,260,260,213,213,,
6,223,219,219,223,,
7,243,243,216,216,,
8,114,114,,,,
9,230,230,226,226,,
10,204,231,204,231,,
11,191,191,272,272,,
12,126,126,,,,
13,249,249,,,,
14,177,177,,,,
15,120,110,120,110,,
16,233,233,134,134,,
17,124,124,,,,
18,172,172,,,,
19,165,165,,,,
20,209,207,207,209,,
21,121,121,135,135,,
22,188,188,,,,
23,169,127,169,127,,
24,137,137,252,252,,
25,132,157,157,132,,
26,106,159,106,159,,
27,151,151,,,,
28,112,112,,,,
29,263,263,262,262,,
30,174,160,174,160,,
31,199,111,199,111,,
32,142,142,117,117,,
33,201,201,,,,
34,109,206,109,206,,
35,240,240,241,241,,
36,200,171,171,200,,
37,144,181,181,144,,
38,113,105,105,113,248,248
39,130,166,166,130,,
40,184,184,,,,
41,228,128,228,128,,
42,225,225,,,,
43,195,195,,,,
44,227,108,227,108,,
45,264,264,,,,
46,254,254,,,,
47,237,237,,,,
48,155,155,,,,
49,147,147,,,,
50,116,116,118,118,,
51,164,164,,,,
52,214,218,218,214,,
53,190,190,150,150,,
54,215,215,257,257,,
55,222,242,242,222,,
56,268,268,,,,
57,196,107,196,107,,
58,274,255,274,255,,
59,224,221,224,221,,
60,179,179,234,234,,
61,136,129,136,129,,
62,192,192,250,250,,
63,210,148,148,210,,
64,273,273,141,141,,
65,154,154,139,267,267,139
66,187,187,,,,
67,185,185,,,,
68,138,138,,,,
69,156,156,,,,
70,232,197,197,232,,
71,198,198,245,245,,
72,239,239,235,235,,
73,261,261,,,,
74,168,168,246,246,,
75,202,202,,,,
76,158,158,253,253,,
77,153,211,211,153,,
78,149,149,,,,
79,205,205,,,,
80,167,256,167,256,,
81,182,182,259,259,,
82,236,186,236,186,,
83,229,229,,,,
84,178,178,,,,
85,176,119,119,176,,
86,146,146,,,,
87,145,269,145,269,,
88,265,270,265,270,,
89,175,115,175,115,,
90,244,244,,,,
91,183,183,,,,
92,123,123,,,,
93,193,161,193,161,,
94,152,217,217,152,,
95,140,180,180,140,,
96,203,203,,,,
97,220,220,,,,
98,162,247,162,247,,
99,163,258,258,163,,
100,131,131,,,,
101,189,212,189,212,,
102,170,170,173,173,,
103,143,143,,,,
104,125,125,133,133,,
